team,problem,home_rows,away_rows
American Samoa,missing_in_transfermarkt,2,4
Anguilla,missing_in_transfermarkt,5,13
Bahamas,missing_in_transfermarkt,12,11
British Virgin Islands,missing_in_transfermarkt,8,14
Cayman Islands,missing_in_transfermarkt,13,7
Dominica,missing_in_transfermarkt,6,13
Papua New Guinea,missing_in_transfermarkt,12,14
Bonaire,not_used_in_matches,0,0
British India,not_used_in_matches,0,0
Christmas Island,not_used_in_matches,0,0
Czechoslovakia (-1993),not_used_in_matches,0,0
Dutch East Indies,not_used_in_matches,0,0
East Germany,not_used_in_matches,0,0
Eritrea,not_used_in_matches,0,0
French Guiana,not_used_in_matches,0,0
Great Britain,not_used_in_matches,0,0
Greenland,not_used_in_matches,0,0
Guadeloupe,not_used_in_matches,0,0
Kiribati,not_used_in_matches,0,0
Marshall Islands,not_used_in_matches,0,0
Martinique,not_used_in_matches,0,0
Mayotte,not_used_in_matches,0,0
Micronesia,not_used_in_matches,0,0
Monaco,not_used_in_matches,0,0
Nauru,not_used_in_matches,0,0
Netherlands Antilles,not_used_in_matches,0,0
Niue,not_used_in_matches,0,0
North Vietnam (-1976),not_used_in_matches,0,0
Northern Mariana Islands,not_used_in_matches,0,0
Northern Rhodesia,not_used_in_matches,0,0
Palau,not_used_in_matches,0,0
Rhodesia,not_used_in_matches,0,0
Russia,not_used_in_matches,0,0
Rwanda U23,not_used_in_matches,0,0
Réunion,not_used_in_matches,0,0
Saar,not_used_in_matches,0,0
Saint-Martin,not_used_in_matches,0,0
Serbia and Montenegro,not_used_in_matches,0,0
Sint Maarten,not_used_in_matches,0,0
South Vietnam (-1976),not_used_in_matches,0,0
South Yemen,not_used_in_matches,0,0
Soviet Union (-1991),not_used_in_matches,0,0
Tuvalu,not_used_in_matches,0,0
Yugoslavia,not_used_in_matches,0,0
Zaire,not_used_in_matches,0,0
Zanzibar,not_used_in_matches,0,0
