rank,team
1,Brazil
2,Argentina
3,France
4,Belgium
5,England
6,Netherlands
7,Croatia
8,Italy
9,Portugal
10,Spain
11,Morocco
12,Switzerland
13,USA
14,Germany
15,Mexico
16,Uruguay
17,Colombia
18,Denmark
19,Senegal
20,Japan
21,Peru
22,Poland
23,Sweden
24,Iran
25,Korea Republic
26,Ukraine
27,Australia
28,Wales
29,Serbia
30,Tunisia
31,Chile
32,Costa Rica
33,Cameroon
34,Austria
35,Nigeria
36,Hungary
37,Russia
38,Czechia
39,Egypt
40,Algeria
41,Ecuador
42,Scotland
43,Norway
44,Türkiye
45,Mali
46,Paraguay
47,Côte d'Ivoire
48,Republic of Ireland
49,Saudi Arabia
50,Burkina Faso
51,Greece
52,Romania
53,Canada
54,Slovakia
55,Venezuela
56,Finland
57,Bosnia and Herzegovina
58,Ghana
59,Northern Ireland
60,Qatar
61,Panama
62,Slovenia
63,Iceland
64,Jamaica
65,North Macedonia
66,Albania
67,South Africa
68,Iraq
69,Montenegro
70,United Arab Emirates
71,Bulgaria
72,Cabo Verde
73,Congo DR
74,El Salvador
75,Oman
76,Israel
77,Uzbekistan
78,Georgia
79,Gabon
80,China PR
81,Honduras
82,Bolivia
83,Guinea
84,Jordan
85,Bahrain
86,Curaçao
87,Haiti
88,Zambia
89,Uganda
90,Syria
91,Benin
92,Luxembourg
93,Palestine
94,Kyrgyz Republic
95,Armenia
96,Vietnam
97,Belarus
98,Equatorial Guinea
99,Congo
100,Lebanon
101,Kenya
102,Madagascar
103,Mauritania
104,Trinidad and Tobago
105,New Zealand
106,India
107,Kosovo
108,Tajikistan
109,Estonia
110,Cyprus
111,Thailand
112,Korea DPR
113,Namibia
114,Mozambique
115,Kazakhstan
116,Sierra Leone
117,Angola
118,Guinea-Bissau
119,Guatemala
120,Libya
121,Azerbaijan
122,Niger
123,Faroe Islands
124,Malawi
125,Zimbabwe
126,The Gambia
127,Togo
128,Sudan
129,Comoros
130,Tanzania
131,Antigua and Barbuda
132,Central African Republic
133,Latvia
134,Philippines
135,Turkmenistan
136,Solomon Islands
137,Rwanda
138,Ethiopia
139,Suriname
140,St Kitts and Nevis
141,Burundi
142,Nicaragua
143,Eswatini
144,Lithuania
145,Malaysia
146,Hong Kong
147,Lesotho
148,Kuwait
149,Botswana
150,Liberia
151,Indonesia
152,Dominican Republic
153,Andorra
154,Yemen
155,Afghanistan
156,Maldives
157,Chinese Taipei
158,Papua New Guinea
159,Myanmar
160,Singapore
161,New Caledonia
162,Tahiti
163,Fiji
164,Vanuatu
165,South Sudan
166,Barbados
167,Malta
168,Cuba
169,Bermuda
170,Puerto Rico
171,Guyana
172,St Lucia
173,Grenada
174,Moldova
175,Nepal
176,Belize
177,Cambodia
178,St Vincent and the Grenadines
179,Montserrat
180,Mauritius
181,Chad
182,Macau
183,Mongolia
184,Dominica
185,Bhutan
186,São Tomé and Príncipe
187,Laos
188,American Samoa
189,Cook Islands
190,Brunei Darussalam
191,Samoa
192,Bangladesh
193,Djibouti
194,Cayman Islands
195,Pakistan
196,Tonga
197,Timor-Leste
198,Liechtenstein
199,Seychelles
200,Gibraltar
201,Eritrea
202,Aruba
203,Bahamas
204,Somalia
205,Guam
206,Turks and Caicos Islands
207,Sri Lanka
208,Virgin Islands
209,British Virgin Islands
210,Anguilla
211,San Marino
