rank,country,confederation,squad_size,avg_age,market_value,avg_market_value_of_players,page,market_value_eur,avg_market_value_of_players_eur
1,France,UEFA,26,27.0,€1.52bn,€58.58m,1,1520000000.0,58580000.0
2,England,UEFA,26,27.2,€1.36bn,€52.43m,1,1360000000.0,52430000.0
3,Spain,UEFA,26,26.8,€1.22bn,€47.03m,1,1220000000.0,47030000.0
4,Portugal,UEFA,26,28.1,€1.01bn,€38.67m,1,1010000000.0,38670000.0
5,Germany,UEFA,26,28.1,€947.00m,€36.42m,1,947000000.0,36420000.0
6,Brazil,South American Football Confederation,26,29.4,€928.20m,€35.70m,1,928200000.0,35700000.0
7,Argentina,South American Football Confederation,26,29.1,€807.50m,€31.06m,1,807500000.0,31060000.0
8,Netherlands,UEFA,26,27.8,€754.20m,€29.01m,1,754200000.0,29010000.0
9,Norway,UEFA,26,26.8,€589.90m,€22.69m,1,589900000.0,22690000.0
10,Belgium,UEFA,26,27.6,€547.50m,€21.06m,1,547500000.0,21060000.0
11,Ivory Coast,CAF,26,25.9,€522.10m,€20.08m,1,522100000.0,20080000.0
12,Senegal,CAF,26,27.1,€478.10m,€18.39m,1,478100000.0,18390000.0
13,Turkiye,UEFA,26,27.7,€473.70m,€18.22m,1,473700000.0,18220000.0
14,Morocco,CAF,26,26.6,€447.70m,€17.22m,1,447700000.0,17220000.0
15,Sweden,UEFA,26,27.6,€406.08m,€15.62m,1,406080000.0,15620000.0
16,Croatia,UEFA,26,28.4,€387.30m,€14.90m,1,387300000.0,14900000.0
17,United States,CONCACAF,26,26.9,€385.65m,€14.83m,1,385650000.0,14830000.0
18,Ecuador,South American Football Confederation,26,26.1,€368.70m,€14.18m,1,368700000.0,14180000.0
19,Denmark,UEFA,23,25.5,€365.00m,€15.87m,1,365000000.0,15870000.0
20,Uruguay,South American Football Confederation,26,28.8,€359.30m,€13.82m,1,359300000.0,13820000.0
21,Switzerland,UEFA,26,28.3,€332.50m,€12.79m,1,332500000.0,12790000.0
22,Italy,UEFA,23,21.0,€315.70m,€13.73m,1,315700000.0,13730000.0
23,Colombia,South American Football Confederation,26,30.1,€302.35m,€11.63m,1,302350000.0,11630000.0
24,Greece,UEFA,25,26.3,€275.60m,€11.02m,1,275600000.0,11020000.0
25,Japan,AFC,26,27.8,€270.85m,€10.42m,1,270850000.0,10420000.0
26,Georgia,UEFA,27,26.3,€260.60m,€9.65m,2,260600000.00000003,9650000.0
27,Algeria,CAF,26,26.9,€256.90m,€9.88m,2,256899999.99999997,9880000.0
28,Ukraine,UEFA,25,26.6,€247.00m,€9.88m,2,247000000.0,9880000.0
29,Austria,UEFA,26,28.6,€245.20m,€9.43m,2,245200000.0,9430000.0
30,Russia,UEFA,33,26.4,€242.70m,€7.35m,2,242700000.0,7350000.0
31,Ghana,CAF,27,26.8,€234.60m,€8.69m,2,234600000.0,8690000.0
32,Poland,UEFA,26,26.3,€231.60m,€8.91m,2,231600000.0,8910000.0
33,Serbia,UEFA,27,23.0,€209.50m,€7.76m,2,209500000.0,7760000.0
34,Hungary,UEFA,29,25.7,€209.20m,€7.21m,2,209200000.0,7210000.0
35,Cameroon,CAF,24,23.7,€198.70m,€8.28m,2,198700000.0,8279999.999999999
36,Canada,CONCACAF,26,27.0,€198.65m,€7.64m,2,198650000.0,7640000.0
37,Mexico,CONCACAF,26,27.9,€191.85m,€7.38m,2,191850000.0,7380000.0
38,Czechia,UEFA,26,27.6,€188.18m,€7.24m,2,188180000.0,7240000.0
39,Wales,UEFA,27,26.6,€180.65m,€6.69m,2,180650000.0,6690000.0
40,Nigeria,CAF,23,26.6,€172.05m,€7.48m,2,172050000.0,7480000.0
41,Scotland,UEFA,26,29.2,€170.25m,€6.55m,2,170250000.0,6550000.0
42,Paraguay,South American Football Confederation,26,29.1,€153.65m,€5.91m,2,153650000.0,5910000.0
43,Bosnia-Herzegovina,UEFA,26,26.4,€151.60m,€5.83m,2,151600000.0,5830000.0
44,Kosovo,UEFA,27,26.5,€147.48m,€5.46m,2,147480000.0,5460000.0
45,Republic of Ireland,UEFA,27,24.9,€146.85m,€5.44m,2,146850000.0,5440000.0
46,Democratic Republic of the Congo,CAF,26,29.1,€143.90m,€5.53m,2,143900000.0,5530000.0
47,South Korea,AFC,26,28.1,€139.05m,€5.35m,2,139050000.0,5350000.0
48,Mali,CAF,27,25.6,€116.55m,€4.32m,2,116550000.0,4320000.0
49,Egypt,CAF,26,29.1,€116.48m,€4.48m,2,116480000.0,4480000.0
50,Burkina Faso,CAF,25,25.0,€110.50m,€4.42m,2,110500000.0,4420000.0
51,Slovenia,UEFA,25,26.6,€100.50m,€4.02m,3,100500000.0,4019999.9999999995
52,Iceland,UEFA,24,27.7,€89.10m,€3.71m,3,89100000.0,3710000.0
53,Albania,UEFA,26,27.4,€88.80m,€3.42m,3,88800000.0,3420000.0
54,Uzbekistan,AFC,26,28.5,€85.33m,€3.28m,3,85330000.0,3280000.0
55,Northern Ireland,UEFA,23,23.8,€79.90m,€3.47m,3,79900000.0,3470000.0
56,Venezuela,South American Football Confederation,27,25.6,€79.00m,€2.93m,3,79000000.0,2930000.0
57,The Gambia,CAF,23,25.2,€78.78m,€3.43m,3,78780000.0,3430000.0
58,Australia,AFC,26,27.4,€77.45m,€2.98m,3,77450000.0,2980000.0
59,Guinea,CAF,30,24.6,€74.13m,€2.47m,3,74130000.0,2470000.0
60,Tunisia,CAF,26,26.7,€69.95m,€2.69m,3,69950000.0,2690000.0
61,Montenegro,UEFA,28,27.9,€68.55m,€2.45m,3,68550000.0,2450000.0
62,Israel,UEFA,23,25.4,€68.10m,€2.96m,3,68100000.0,2960000.0
63,Chile,South American Football Confederation,25,25.9,€66.80m,€2.67m,3,66800000.0,2670000.0
64,Slovakia,UEFA,26,26.9,€59.85m,€2.30m,3,59850000.0,2300000.0
65,Romania,UEFA,24,26.0,€56.95m,€2.37m,3,56950000.0,2370000.0
66,Haiti,CONCACAF,26,27.6,€55.90m,€2.15m,3,55900000.0,2150000.0
67,Cape Verde,CAF,26,29.7,€54.50m,€2.10m,3,54500000.0,2100000.0
68,South Africa,CAF,26,26.8,€49.25m,€1.89m,3,49250000.0,1890000.0
69,Angola,CAF,27,29.4,€46.55m,€1.72m,3,46550000.0,1720000.0
70,Armenia,UEFA,27,26.0,€42.23m,€1.56m,3,42230000.0,1560000.0
71,Finland,UEFA,27,26.1,€41.85m,€1.55m,3,41850000.0,1550000.0
72,Saudi Arabia,AFC,26,28.5,€40.68m,€1.56m,3,40680000.0,1560000.0
73,Guinea-Bissau,CAF,24,26.6,€39.45m,€1.64m,3,39450000.0,1640000.0
74,Suriname,CONCACAF,26,29.1,€35.93m,€1.38m,3,35930000.0,1380000.0
75,Gabon,CAF,35,27.6,€35.28m,€1.01m,3,35280000.0,1010000.0
76,Panama,CONCACAF,26,30.5,€34.55m,€1.33m,4,34550000.0,1330000.0
77,North Macedonia,UEFA,25,27.8,€34.45m,€1.38m,4,34450000.0,1380000.0
78,New Zealand,OFC,26,28.1,€34.35m,€1.32m,4,34350000.0,1320000.0
79,Iran,AFC,26,30.4,€32.05m,€1.23m,4,32049999.999999996,1230000.0
80,Peru,South American Football Confederation,24,27.1,€30.58m,€1.27m,4,30580000.0,1270000.0
81,Bulgaria,UEFA,25,25.7,€30.05m,€1.20m,4,30050000.0,1200000.0
82,United Arab Emirates,AFC,24,26.7,€29.05m,€1.21m,4,29050000.0,1210000.0
83,Costa Rica,CONCACAF,21,24.8,€28.20m,€1.34m,4,28200000.0,1340000.0
84,Togo,CAF,25,25.7,€27.80m,€1.11m,4,27800000.0,1110000.0
85,Curaçao,CONCACAF,26,28.0,€25.78m,€991k,4,25780000.0,991000.0
86,Mauritania,CAF,25,26.9,€25.35m,€1.01m,4,25350000.0,1010000.0
87,Zimbabwe,CAF,21,26.0,€25.33m,€1.21m,4,25330000.0,1210000.0
88,Iraq,AFC,26,26.9,€21.20m,€815k,4,21200000.0,815000.0
89,Honduras,CONCACAF,26,25.4,€20.93m,€805k,4,20930000.0,805000.0
90,Jordan,AFC,26,28.5,€20.30m,€781k,4,20300000.0,781000.0
91,Qatar,AFC,26,29.5,€19.93m,€766k,4,19930000.0,766000.0
92,Cyprus,UEFA,27,26.8,€19.90m,€737k,4,19900000.0,737000.0
93,Indonesia,AFC,23,25.7,€19.55m,€850k,4,19550000.0,850000.0
94,Azerbaijan,UEFA,27,27.6,€19.08m,€706k,4,19080000.0,706000.0
95,Benin,CAF,25,26.2,€18.08m,€723k,4,18080000.0,723000.0
96,Bolivia,South American Football Confederation,27,23.8,€18.05m,€669k,4,18050000.0,669000.0
97,Kazakhstan,UEFA,25,26.0,€16.30m,€652k,4,16300000.0,652000.0
98,Lithuania,UEFA,23,26.3,€16.18m,€703k,4,16180000.0,703000.0
99,Belarus,UEFA,24,26.3,€15.38m,€641k,4,15380000.0,641000.0
100,Malta,UEFA,27,27.1,€14.95m,€554k,4,14950000.0,554000.0
101,Luxembourg,UEFA,23,26.2,€14.70m,€639k,5,14700000.0,639000.0
102,China,AFC,26,27.9,€14.33m,€551k,5,14330000.0,551000.0
103,Liberia,CAF,26,24.5,€14.33m,€551k,5,14330000.0,551000.0
104,Zambia,CAF,23,26.3,€14.13m,€614k,5,14130000.0,614000.0
105,Estonia,UEFA,27,25.5,€13.93m,€516k,5,13930000.0,516000.0
106,Guadeloupe,CONCACAF,25,29.5,€13.70m,€548k,5,13700000.0,548000.0
107,Sierra Leone,CAF,24,24.3,€13.33m,€555k,5,13330000.0,555000.0
108,Dominican Republic,CONCACAF,25,25.5,€12.83m,€513k,5,12830000.0,513000.0
109,Burundi,CAF,29,26.6,€10.93m,€377k,5,10930000.0,377000.0
110,Niger,CAF,25,26.4,€10.70m,€428k,5,10700000.0,428000.0
111,Palestine,AFC,30,26.8,€10.28m,€343k,5,10280000.0,343000.0
112,Libya,CAF,19,26.6,€10.13m,€533k,5,10130000.0,533000.0
113,Moldova,UEFA,26,25.1,€9.70m,€373k,5,9700000.0,373000.0
114,Jamaica,CONCACAF,24,23.1,€9.05m,€377k,5,9050000.0,377000.0
115,Tanzania,CAF,25,26.3,€9.03m,€361k,5,9030000.0,361000.0
116,Uganda,CAF,29,28.0,€8.63m,€297k,5,8630000.0,297000.0
117,Chad,CAF,24,24.3,€8.55m,€356k,5,8550000.0,356000.0
118,Oman,AFC,28,28.7,€8.33m,€297k,5,8330000.0,297000.0
119,Latvia,UEFA,25,27.0,€8.23m,€329k,5,8230000.0,329000.0
120,Central African Republic,CAF,24,25.8,€8.20m,€342k,5,8199999.999999999,342000.0
121,Syria,AFC,25,28.0,€7.93m,€317k,5,7930000.0,317000.0
122,Guatemala,CONCACAF,23,25.8,€7.78m,€338k,5,7780000.0,338000.0
123,Tajikistan,AFC,24,26.0,€7.78m,€324k,5,7780000.0,324000.0
124,Malaysia,AFC,28,28.6,€7.60m,€271k,5,7600000.0,271000.0
125,Bangladesh,AFC,23,26.4,€7.25m,€315k,5,7250000.0,315000.0
126,El Salvador,CONCACAF,25,26.8,€7.13m,€285k,6,7130000.0,285000.0
127,Kyrgyzstan,AFC,26,26.1,€7.05m,€271k,6,7050000.0,271000.0
128,Rwanda,CAF,30,27.1,€6.95m,€232k,6,6950000.0,232000.0
129,North Korea,AFC,29,25.9,€6.85m,€236k,6,6850000.0,236000.0
130,Madagascar,CAF,24,28.0,€6.80m,€283k,6,6800000.0,283000.0
131,Thailand,AFC,24,28.5,€6.55m,€273k,6,6550000.0,273000.0
132,Vietnam,AFC,23,28.1,€6.38m,€277k,6,6380000.0,277000.0
133,Bahrain,AFC,24,29.6,€6.15m,€256k,6,6150000.0,256000.0
134,Lebanon,AFC,23,28.9,€5.55m,€241k,6,5550000.0,241000.0
135,New Caledonia,OFC,25,28.8,€5.20m,€208k,6,5200000.0,208000.0
136,Faroe Islands,UEFA,23,27.5,€5.10m,€222k,6,5100000.0,222000.0
137,Singapore,AFC,28,28.2,€4.38m,€156k,6,4380000.0,156000.0
138,Eritrea,CAF,24,25.6,€4.35m,€181k,6,4350000.0,181000.0
139,Kuwait,AFC,24,28.4,€4.23m,€176k,6,4230000.0,176000.0
140,Equatorial Guinea,CAF,22,26.2,€4.20m,€191k,6,4200000.0,191000.0
141,India,AFC,22,26.8,€4.00m,€182k,6,4000000.0,182000.0
142,Comoros,CAF,23,23.7,€3.80m,€165k,6,3800000.0,165000.0
143,Nicaragua,CONCACAF,22,25.6,€3.78m,€172k,6,3780000.0,172000.0
144,Martinique,CONCACAF,21,27.8,€3.78m,€180k,6,3780000.0,180000.0
145,Andorra,UEFA,27,29.1,€3.71m,€137k,6,3710000.0,137000.0
146,Pakistan,AFC,23,25.7,€3.54m,€154k,6,3540000.0,154000.0
147,Hong Kong,AFC,22,27.1,€3.45m,€157k,6,3450000.0,157000.0
148,Kenya,CAF,24,23.8,€3.30m,€138k,6,3300000.0,138000.0
149,Sudan,CAF,27,29.2,€3.28m,€121k,6,3280000.0,121000.0
150,Philippines,AFC,22,26.3,€3.23m,€147k,6,3230000.0,147000.0
151,Botswana,CAF,26,30.1,€3.05m,€117k,7,3050000.0,117000.0
152,Myanmar,AFC,24,26.5,€3.00m,€125k,7,3000000.0,125000.0
153,Turkmenistan,AFC,22,27.6,€2.95m,€134k,7,2950000.0,134000.0
154,Ethiopia,CAF,23,27.6,€2.90m,€126k,7,2900000.0,126000.0
155,Cuba,CONCACAF,24,24.0,€2.60m,€108k,7,2600000.0,108000.0
