round,match_number,home_team,away_team,prob_home_win_90,prob_draw_90,prob_away_win_90,winner,loser,advancement_rule
Round of 32,73,Korea Republic,Canada,0.3011137009353502,0.3804066546296794,0.3184796444349704,Canada,Korea Republic,"90min winner; if draw, higher baseline win probability advances"
Round of 32,74,Germany,Czechia,0.7187189976922296,0.17401619023517934,0.10726481207259121,Germany,Czechia,"90min winner; if draw, higher baseline win probability advances"
Round of 32,75,Netherlands,Morocco,0.4962551214069817,0.2875863241799295,0.21615855441308873,Netherlands,Morocco,"90min winner; if draw, higher baseline win probability advances"
Round of 32,76,Brazil,Japan,0.6115082401450057,0.2062921660073321,0.18219959384766218,Brazil,Japan,"90min winner; if draw, higher baseline win probability advances"
Round of 32,77,France,Paraguay,0.742061129880645,0.15712036643251526,0.10081850368683981,France,Paraguay,"90min winner; if draw, higher baseline win probability advances"
Round of 32,78,Côte d'Ivoire,Norway,0.3000018675798975,0.3375397566815101,0.3624583757385924,Norway,Côte d'Ivoire,"90min winner; if draw, higher baseline win probability advances"
Round of 32,79,Mexico,Ecuador,0.29865470517840487,0.455944496068025,0.2454007987535701,Mexico,Ecuador,"90min winner; if draw, higher baseline win probability advances"
Round of 32,80,England,Senegal,0.6781795127222999,0.17584508318495695,0.14597540409274298,England,Senegal,"90min winner; if draw, higher baseline win probability advances"
Round of 32,81,USA,Sweden,0.3259747696195469,0.4387024596185427,0.23532277076191033,USA,Sweden,"90min winner; if draw, higher baseline win probability advances"
Round of 32,82,Belgium,Austria,0.48592042706384114,0.358337861752884,0.1557417111832747,Belgium,Austria,"90min winner; if draw, higher baseline win probability advances"
Round of 32,83,Colombia,Croatia,0.3133935819182906,0.35697506191792844,0.3296313561637809,Croatia,Colombia,"90min winner; if draw, higher baseline win probability advances"
Round of 32,84,Spain,Algeria,0.7476918907306301,0.14453054219511066,0.10777756707425938,Spain,Algeria,"90min winner; if draw, higher baseline win probability advances"
Round of 32,85,Switzerland,IR Iran,0.5308025860362293,0.2911814906391926,0.17801592332457808,Switzerland,IR Iran,"90min winner; if draw, higher baseline win probability advances"
Round of 32,86,Argentina,Uruguay,0.4569688466166255,0.3856935234804087,0.15733762990296582,Argentina,Uruguay,"90min winner; if draw, higher baseline win probability advances"
Round of 32,87,Portugal,Panama,0.7143704263014362,0.15820941758877471,0.12742015610978893,Portugal,Panama,"90min winner; if draw, higher baseline win probability advances"
Round of 32,88,Turkey,Egypt,0.4628438745868528,0.3462575374315023,0.19089858798164494,Turkey,Egypt,"90min winner; if draw, higher baseline win probability advances"
Round of 16,89,Canada,Netherlands,0.23363964589845554,0.2976063609502381,0.46875399315130634,Netherlands,Canada,"90min winner; if draw, higher baseline win probability advances"
Round of 16,90,Germany,France,0.2794712241989126,0.38772563596819914,0.3328031398328882,France,Germany,"90min winner; if draw, higher baseline win probability advances"
Round of 16,91,Brazil,Norway,0.5391289643372467,0.34850531156297526,0.11236572409977814,Brazil,Norway,"90min winner; if draw, higher baseline win probability advances"
Round of 16,92,Mexico,England,0.2851900607024543,0.3191312192103878,0.39567872008715793,England,Mexico,"90min winner; if draw, higher baseline win probability advances"
Round of 16,93,Croatia,Spain,0.2952223212193111,0.370533741823819,0.3342439369568699,Spain,Croatia,"90min winner; if draw, higher baseline win probability advances"
Round of 16,94,USA,Belgium,0.23456115277040376,0.279001904248473,0.4864369429811233,Belgium,USA,"90min winner; if draw, higher baseline win probability advances"
Round of 16,95,Argentina,Turkey,0.4790599295638945,0.37699499602804926,0.14394507440805623,Argentina,Turkey,"90min winner; if draw, higher baseline win probability advances"
Round of 16,96,Switzerland,Portugal,0.32341256120326567,0.2903663558952289,0.3862210829015054,Portugal,Switzerland,"90min winner; if draw, higher baseline win probability advances"
Quarter-final,97,Netherlands,France,0.3076326590902259,0.3913817159567235,0.3009856249530506,Netherlands,France,"90min winner; if draw, higher baseline win probability advances"
Quarter-final,98,Spain,Belgium,0.6193320559265217,0.18208348602218893,0.19858445805128935,Spain,Belgium,"90min winner; if draw, higher baseline win probability advances"
Quarter-final,99,Brazil,England,0.3328955742667945,0.35431763928018994,0.31278678645301555,Brazil,England,"90min winner; if draw, higher baseline win probability advances"
Quarter-final,100,Argentina,Portugal,0.27175261105509185,0.36022168267590043,0.3680257062690077,Portugal,Argentina,"90min winner; if draw, higher baseline win probability advances"
Semi-final,101,Netherlands,Spain,0.28481152909386354,0.3991011898236114,0.31608728108252504,Spain,Netherlands,"90min winner; if draw, higher baseline win probability advances"
Semi-final,102,Brazil,Portugal,0.31111197228845383,0.37293282728310273,0.31595520042844355,Portugal,Brazil,"90min winner; if draw, higher baseline win probability advances"
Third-place play-off,103,Netherlands,Brazil,0.30328427637687555,0.3510793312757037,0.34563639234742066,Brazil,Netherlands,"90min winner; if draw, higher baseline win probability advances"
Final,104,Spain,Portugal,0.4985806905070967,0.3157792995578392,0.1856400099350641,Spain,Portugal,"90min winner; if draw, higher baseline win probability advances"
