team,group,points,wins,draws,losses,expected_points,fifa_rank,h2h_bonus,group_position
Mexico,A,9,3,0,0,6.707459245839008,15,0.0,1
Korea Republic,A,4,1,1,1,4.003753412042169,25,0.0,2
Czechia,A,4,1,1,1,3.3336017289622917,40,0.0,3
South Africa,A,0,0,0,3,2.1352439093038473,60,0.0,4
Switzerland,B,9,3,0,0,5.886428980600026,19,0.0,1
Canada,B,6,2,0,1,5.504204290712388,27,0.0,2
Bosnia and Herzegovina,B,3,1,0,2,2.601360106015486,64,0.0,3
Qatar,B,0,0,0,3,2.4900913195740175,56,0.0,4
Brazil,C,9,3,0,0,5.786366972196246,5,0.0,1
Morocco,C,6,2,0,1,5.169641048985035,7,0.0,2
Scotland,C,3,1,0,2,3.8743553702634546,42,0.0,3
Haiti,C,0,0,0,3,1.5881000214178358,83,0.0,4
USA,D,9,3,0,0,5.43182608210523,16,0.0,1
Turkey,D,4,1,1,1,4.4137583068164075,22,0.0,2
Paraguay,D,3,1,0,2,2.6816005499299655,41,0.0,3
Australia,D,1,0,1,2,3.483398532913422,27,0.0,4
Germany,E,9,3,0,0,6.1695125223200495,10,0.0,1
Côte d'Ivoire,E,6,2,0,1,4.228778232723589,33,0.0,2
Ecuador,E,3,1,0,2,4.142711894102749,23,0.0,3
Curaçao,E,0,0,0,3,1.8419865281316286,82,0.0,4
Netherlands,F,9,3,0,0,5.858315836604799,8,0.0,1
Japan,F,4,1,1,1,4.135093625446392,18,0.0,2
Sweden,F,4,1,1,1,3.402641793746694,38,0.0,3
Tunisia,F,0,0,0,3,2.6584491942280746,45,0.0,4
Belgium,G,9,3,0,0,5.667361320521842,9,0.0,1
Egypt,G,6,2,0,1,4.421582252693327,29,0.0,2
IR Iran,G,3,1,0,2,4.301066852447746,20,0.0,3
New Zealand,G,0,0,0,3,1.8903734271806203,85,0.0,4
Spain,H,9,3,0,0,6.353398842491433,2,0.0,1
Uruguay,H,6,2,0,1,5.200551625250991,16,0.0,2
Cabo Verde,H,3,1,0,2,2.590281700372837,67,0.0,3
Saudi Arabia,H,0,0,0,3,2.4053016028767065,61,0.0,4
France,I,9,3,0,0,6.139881831530726,3,0.0,1
Norway,I,6,2,0,1,4.441910861733174,31,0.0,2
Senegal,I,3,1,0,2,3.8780739569303004,15,0.0,3
Iraq,I,0,0,0,3,2.121627842416599,57,0.0,4
Argentina,J,9,3,0,0,6.208855967374072,1,0.0,1
Algeria,J,6,2,0,1,4.334507975624315,28,0.0,2
Austria,J,3,1,0,2,3.555513028680757,24,0.0,3
Jordan,J,0,0,0,3,2.2069016755696285,63,0.0,4
Portugal,K,7,2,1,0,6.037382051391355,6,0.0,1
Colombia,K,7,2,1,0,5.269385243593569,13,0.0,2
Congo DR,K,3,1,0,2,2.9067518144188416,46,0.0,3
Uzbekistan,K,0,0,0,3,2.230953820169096,50,0.0,4
England,L,9,3,0,0,6.090130441255173,4,0.0,1
Croatia,L,6,2,0,1,4.670466183863265,11,0.0,2
Panama,L,3,1,0,2,3.788383222447113,34,0.0,3
Ghana,L,0,0,0,3,1.9498155206127237,73,0.0,4
